Longitude,Latitude,Cost
-111.1331949712563,57.92139774444361,0.4523795535098186
-111.25532408269204,57.9351869707119,0.559772386080496
-111.14072268339393,57.94498837522286,0.9242105840237294
-111.16355505788329,57.89725804448515,0.4656500700997733
-111.20629135356926,57.931213262614534,0.5078412730622711
-111.20582681604887,57.91090182823164,0.587384828849897
-111.10070261206889,57.85566510789099,0.18466034385487662
-111.17506850360748,57.89987725760118,0.5119086390418055
-111.10292726162824,57.858832391371976,0.6298827202168019
-111.23350511606186,57.934015736955914,0.7929768725199526
-111.20857003705702,57.89153298557158,0.09412345622921847
-111.2322882247813,57.84624441150651,0.3034012626245255
-111.16812507791876,57.977225255788724,0.0906705374918394
-111.17889620793996,57.901505701803,0.8096445343671775
-111.08633265138855,57.85612757159815,0.6934384825412391
-111.22019242077097,57.86795630102616,0.041880336369846005
-111.14952036377542,57.871186521245974,0.9821934207987782
-111.14708313261607,57.88157985387827,0.9647577811255668
-111.28556901280595,57.8703376516239,0.6539225335338404
-111.2003374038411,57.94078896922815,0.6155627045785708
-111.27195527336191,57.8534962322276,0.15749409514016244
-111.28613204530288,57.92003464028253,0.01500073694960491
-111.1627037484338,57.914626731917416,0.5283812661704788
-111.28601648088677,57.93639947642965,0.05955110516885498
-111.0352103498903,57.98884986477155,0.19020826279792913
-111.2676230980194,57.98795796165264,0.24194301366521476
-111.20142633135067,57.85675144270986,0.03008258922478857
-111.17825986990225,57.904087655779264,0.4639344612232845
-111.18551862025242,57.90586380838222,0.4405311166566568
-111.16390932119761,57.91232500665232,0.842427128518532
-111.20665055484224,57.833096640293135,0.5191241147640767
-111.20694948992531,57.88651655155441,0.6402917079191771
-111.18507118042811,57.87262959134104,0.49977315220679164
-111.30895096165025,57.932100098540886,0.6624495318903681
-111.21476226377527,57.93023228096912,0.4573298815995577
-111.13109548981859,57.87870174405348,0.27816289966388585
-111.21789050942263,57.89382479306061,0.9976562004630843
-111.19554204489854,57.899649984043286,0.9956916416561992
-111.17796062128606,57.91936373068515,0.8402155494928618
-111.14780537368215,57.83080569205128,0.7078096214979495
